chromosome	start	end	width	strand	gene
chr2	4407958	4412805	4847	+	LOC_Os02g08300
chr2	4412800	4415060	2260	-	LOC_Os02g08310
chr2	4423146	4424236	1090	+	LOC_Os02g08320
chr2	4424439	4426620	2181	-	LOC_Os02g08330
chr2	4432874	4438116	5242	-	LOC_Os02g08350
chr2	4440184	4448768	8584	+	LOC_Os02g08360
chr2	4449777	4454808	5031	+	LOC_Os02g08364
chr2	4454840	4457748	2908	-	LOC_Os02g08370
chr2	4460300	4463704	3404	+	LOC_Os02g08380
chr2	4481872	4483470	1598	+	LOC_Os02g08400
chr2	4486471	4489409	2938	-	LOC_Os02g08410
chr2	4497077	4500449	3372	+	LOC_Os02g08420
chr2	4542762	4544983	2221	+	LOC_Os02g08440
chr2	4557020	4557268	248	+	LOC_Os02g08460
chr2	4563050	4566686	3636	+	LOC_Os02g08480
chr2	4567617	4573049	5432	-	LOC_Os02g08490
chr2	4573806	4578363	4557	-	LOC_Os02g08500
chr2	4594375	4595386	1011	-	LOC_Os02g08510
chr2	4599038	4601200	2162	-	LOC_Os02g08520
chr2	4604012	4607666	3654	-	LOC_Os02g08530
chr2	4616830	4622111	5281	+	LOC_Os02g08540
chr2	4625395	4628868	3473	+	LOC_Os02g08544
chr2	4629594	4630173	579	-	LOC_Os02g09050
chr2	4630330	4634623	4293	-	LOC_Os02g09060
chr2	4640152	4641461	1309	-	LOC_Os02g09070
chr2	4650575	4653983	3408	+	LOC_Os02g09080
chr2	4658136	4668902	10766	-	LOC_Os02g09100
chr2	4676850	4679925	3075	-	LOC_Os02g09120
chr2	4681347	4689703	8356	-	LOC_Os02g09130
chr2	4690518	4693590	3072	+	LOC_Os02g09140
chr2	4693810	4699300	5490	-	LOC_Os02g09150
chr2	4704823	4706528	1705	-	LOC_Os02g09160
chr2	4708493	4716880	8387	+	LOC_Os02g09170
chr2	4717665	4720658	2993	+	LOC_Os02g09180
chr2	4720935	4722712	1777	-	LOC_Os02g09190
chr2	4724221	4726015	1794	-	LOC_Os02g09200
chr2	4740044	4743193	3149	+	LOC_Os02g09220
chr2	4754173	4756309	2136	+	LOC_Os02g09240
chr2	4765151	4767215	2064	+	LOC_Os02g09250
chr2	4768849	4771120	2271	+	LOC_Os02g09260
chr2	4774336	4776362	2026	+	LOC_Os02g09270
